Full name of License	License Identifier	Source/url
Independent JPEG Group License	IJG	http://dev.w3.org/cvsweb/Amaya/libjpeg/Attic/README?rev=1.2
Info-ZIP License	Info-ZIP	http://www.info-zip.org/license.html
Intel ACPI Software License Agreement	Intel-ACPI	https://fedoraproject.org/wiki/Licensing/Intel_ACPI_Software_License_Agreement
Intel Open Source License	Intel	http://opensource.org/licenses/Intel
Interbase Public License v1.0	Interbase-1.0	https://web.archive.org/web/20060319014854/http://info.borland.com/devsupport/interbase/opensource/IPL.html
IPA Font License	IPA	http://www.opensource.org/licenses/IPA
ISC License	ISC	"http://www.isc.org/software/license
http://www.opensource.org/licenses/ISC"
JasPer License	JasPer-2.0	http://www.ece.uvic.ca/~mdadams/jasper/LICENSE
JSON License	JSON	http://www.json.org/license.html
LaTeX Project Public License v1.0	LPPL-1.0	http://www.latex-project.org/lppl/lppl-1-0.txt
LaTeX Project Public License v1.1	LPPL-1.1	http://www.latex-project.org/lppl/lppl-1-1.txt
LaTeX Project Public License v1.2	LPPL-1.2	http://www.latex-project.org/lppl/lppl-1-2.txt
LaTeX Project Public License v1.3a	LPPL-1.3a	http://www.latex-project.org/lppl/lppl-1-3a.txt
LaTeX Project Public License v1.3c	LPPL-1.3c	"http://www.latex-project.org/lppl/lppl-1-3c.txt
http://www.opensource.org/licenses/LPPL-1.3c"
Latex2e License	Latex2e	https://fedoraproject.org/wiki/Licensing/Latex2e
Lawrence Berkeley National Labs BSD variant license	BSD-3-Clause-LBNL	https://fedoraproject.org/wiki/Licensing/LBNLBSD
Leptonica License	Leptonica	https://fedoraproject.org/wiki/Licensing/Leptonica
Lesser General Public License For Linguistic Resources	LGPLLR	http://www-igm.univ-mlv.fr/~unitex/lgpllr.html
libpng License	Libpng	http://www.libpng.org/pub/png/src/libpng-LICENSE.txt
libtiff License	libtiff	https://fedoraproject.org/wiki/Licensing/libtiff
Licence Art Libre 1.2	LAL-1.2	http://artlibre.org/licence/lal/licence-art-libre-12/
Licence Art Libre 1.3	LAL-1.3	http://artlibre.org/
Licence Libre du Québec – Permissive version 1.1	LiLiQ-P-1.1	"http://opensource.org/licenses/LiLiQ-P-1.1
https://www.forge.gouv.qc.ca/participez/licence-logicielle/licence-libre-du-quebec-liliq-en-francais/licence-libre-du-quebec-liliq-en-francais-v1-0/licence-libre-du-quebec-reciprocite-liliq-r-v1-0/"
Licence Libre du Québec – Réciprocité forte version 1.1	LiLiQ-Rplus-1.1	"http://opensource.org/licenses/LiLiQ-Rplus-1.1
https://www.forge.gouv.qc.ca/participez/licence-logicielle/licence-libre-du-quebec-liliq-en-francais/licence-libre-du-quebec-reciprocite-forte-liliq-r-v1-1/"
Licence Libre du Québec – Réciprocité version 1.1	LiLiQ-R-1.1	"http://opensource.org/licenses/LiLiQ-R-1.1
https://www.forge.gouv.qc.ca/participez/licence-logicielle/licence-libre-du-quebec-liliq-en-francais/licence-libre-du-quebec-reciprocite-liliq-r-v1-1/"
Lucent Public License v1.02	LPL-1.02	"http://plan9.bell-labs.com/plan9/license.html
http://www.opensource.org/licenses/LPL-1.02"
Lucent Public License Version 1.0	LPL-1.0	http://opensource.org/licenses/LPL-1.0
MakeIndex License	MakeIndex	https://fedoraproject.org/wiki/Licensing/MakeIndex
Matrix Template Library License	MTLL	https://fedoraproject.org/wiki/Licensing/Matrix_Template_Library_License
Microsoft Public License	MS-PL	"http://www.microsoft.com/opensource/licenses.mspx
http://www.opensource.org/licenses/MS-PL"
Microsoft Reciprocal License	MS-RL	"http://www.microsoft.com/opensource/licenses.mspx
http://www.opensource.org/licenses/MS-RL"
MirOS Licence	MirOS	http://www.opensource.org/licenses/MirOS
MIT +no-false-attribs license	MITNFA	https://fedoraproject.org/wiki/Licensing/MITNFA
MIT License	MIT	http://www.opensource.org/licenses/MIT
Motosoto License	Motosoto	http://www.opensource.org/licenses/Motosoto
Mozilla Public License 1.0	MPL-1.0	"http://www.mozilla.org/MPL/MPL-1.0.html
http://opensource.org/licenses/MPL-1.0"
Mozilla Public License 1.1	MPL-1.1	"http://www.mozilla.org/MPL/MPL-1.1.html
http://www.opensource.org/licenses/MPL-1.1"
Mozilla Public License 2.0	MPL-2.0	"http://www.mozilla.org/MPL/2.0/
http://opensource.org/licenses/MPL-2.0"
Mozilla Public License 2.0 (no copyleft exception)	MPL-2.0-no-copyleft-exception	"http://www.mozilla.org/MPL/2.0/
http://opensource.org/licenses/MPL-2.0"
mpich2 License	mpich2	https://fedoraproject.org/wiki/Licensing/MIT
Multics License	Multics	http://www.opensource.org/licenses/Multics
Mup License	Mup	https://fedoraproject.org/wiki/Licensing/Mup
NASA Open Source Agreement 1.3	NASA-1.3	"http://ti.arc.nasa.gov/opensource/nosa/
http://www.opensource.org/licenses/NASA-1.3"
Naumen Public License	Naumen	http://www.opensource.org/licenses/Naumen
Net Boolean Public License v1	NBPL-1.0	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=37b4b3f6cc4bf34e1d3dec61e69914b9819d8894
Net-SNMP License	Net-SNMP	"http://net-snmp.sourceforge.net/about/license.html
"
NetCDF license	NetCDF	http://www.unidata.ucar.edu/software/netcdf/copyright.html
Nethack General Public License	NGPL	http://www.opensource.org/licenses/NGPL
Netizen Open Source License	NOSL	http://bits.netizen.com.au/licenses/NOSL/nosl.txt
Netscape Public License v1.0	NPL-1.0	http://www.mozilla.org/MPL/NPL/1.0/
Netscape Public License v1.1	NPL-1.1	http://www.mozilla.org/MPL/NPL/1.1/
Newsletr License	Newsletr	https://fedoraproject.org/wiki/Licensing/Newsletr
No Limit Public License	NLPL	https://fedoraproject.org/wiki/Licensing/NLPL
Nokia Open Source License	Nokia	http://www.opensource.org/licenses/nokia
Non-Profit Open Software License 3.0	NPOSL-3.0	http://www.opensource.org/licenses/NOSL3.0
Norwegian Licence for Open Government Data	NLOD-1.0	http://data.norge.no/nlod/en/1.0
Noweb License	Noweb	https://fedoraproject.org/wiki/Licensing/Noweb
NRL License	NRL	http://web.mit.edu/network/isakmp/nrllicense.html
NTP License	NTP	http://www.opensource.org/licenses/NTP
Nunit License	Nunit	https://fedoraproject.org/wiki/Licensing/Nunit
OCLC Research Public License 2.0	OCLC-2.0	"http://www.oclc.org/research/activities/software/license/v2final.htm
http://www.opensource.org/licenses/OCLC-2.0"
ODC Open Database License v1.0	ODbL-1.0	http://www.opendatacommons.org/licenses/odbl/1.0/
ODC Public Domain Dedication & License 1.0	PDDL-1.0	http://opendatacommons.org/licenses/pddl/1.0/
Open CASCADE Technology Public License	OCCT-PL	http://www.opencascade.com/content/occt-public-license
Open Group Test Suite License	OGTSL	"http://www.opengroup.org/testing/downloads/The_Open_Group_TSL.txt
http://www.opensource.org/licenses/OGTSL"
Open LDAP Public License  2.2.2	OLDAP-2.2.2	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=df2cc1e21eb7c160695f5b7cffd6296c151ba188
Open LDAP Public License v1.1	OLDAP-1.1	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=806557a5ad59804ef3a44d5abfbe91d706b0791f
Open LDAP Public License v1.2	OLDAP-1.2	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=42b0383c50c299977b5893ee695cf4e486fb0dc7
Open LDAP Public License v1.3	OLDAP-1.3	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=e5f8117f0ce088d0bd7a8e18ddf37eaa40eb09b1
Open LDAP Public License v1.4	OLDAP-1.4	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=c9f95c2f3f2ffb5e0ae55fe7388af75547660941
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B)	OLDAP-2.0	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=cbf50f4e1185a21abd4c0a54d3f4341fe28f36ea
Open LDAP Public License v2.0.1	OLDAP-2.0.1	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=b6d68acd14e51ca3aab4428bf26522aa74873f0e
Open LDAP Public License v2.1	OLDAP-2.1	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=b0d176738e96a0d3b9f85cb51e140a86f21be715
Open LDAP Public License v2.2	OLDAP-2.2	http://www.openldap.org/devel/gitweb.cgi?p=openldap.git;a=blob;f=LICENSE;hb=470b0c18ec67621c85881b2733057fecf4a1acc3
